case,time_s,probe,x,y,u,v,speed
three,56.70000000,Q3,8.0,-1.0,1.068752176,0.2506812946,1.097757862
three,56.70000000,Q4,10.0,0.5,0.6737459408,-0.4428630819,0.8062637919
three,56.70000000,Q5,12.0,-0.5,0.94777765,0.3860279851,1.023376802
three,56.70000000,Q6,14.0,0.0,0.831073467,-0.3599281035,0.905666245
three,56.75000000,Q1,4.0,0.0,-0.1000213744,0.4208551513,0.4325775465
three,56.75000000,Q2,6.0,1.0,0.7454342992,-0.2594598161,0.7892982266
three,56.75000000,Q3,8.0,-1.0,1.094454093,0.2588605205,1.124650404
three,56.75000000,Q4,10.0,0.5,0.6859158789,-0.4471457157,0.818791722
three,56.75000000,Q5,12.0,-0.5,0.9547612164,0.3877108148,1.030479818
three,56.75000000,Q6,14.0,0.0,0.8324987654,-0.3504054543,0.9032376082
three,56.80000000,Q1,4.0,0.0,-0.08926150151,0.3914293449,0.4014779542
three,56.80000000,Q2,6.0,1.0,0.7671935107,-0.2742617516,0.8147425306
three,56.80000000,Q3,8.0,-1.0,1.119896095,0.2659258518,1.151035978
three,56.80000000,Q4,10.0,0.5,0.6981896783,-0.4498205643,0.8305464267
three,56.80000000,Q5,12.0,-0.5,0.9611034143,0.3886621464,1.036715022
three,56.80000000,Q6,14.0,0.0,0.8335995997,-0.3397926049,0.9001929276
three,56.85000000,Q1,4.0,0.0,-0.08023791964,0.3607008242,0.3695175345
three,56.85000000,Q2,6.0,1.0,0.7895077892,-0.2895994833,0.8409461397
three,56.85000000,Q3,8.0,-1.0,1.144321927,0.2720549657,1.176217062
three,56.85000000,Q4,10.0,0.5,0.7105411508,-0.4510187065,0.8415976477
three,56.85000000,Q5,12.0,-0.5,0.9668353104,0.3888366405,1.042096181
three,56.85000000,Q6,14.0,0.0,0.8342870727,-0.3280622061,0.8964707083
three,56.90000000,Q1,4.0,0.0,-0.07272759689,0.3286266793,0.3365780708
three,56.90000000,Q2,6.0,1.0,0.8124957145,-0.3056478385,0.8680840324
three,56.90000000,Q3,8.0,-1.0,1.168171546,0.2771444972,1.200597282
three,56.90000000,Q4,10.0,0.5,0.7229855316,-0.4506638861,0.8519424964
three,56.90000000,Q5,12.0,-0.5,0.9719388315,0.3882606737,1.046619053
three,56.90000000,Q6,14.0,0.0,0.8346129011,-0.3152301686,0.8921596011
